accession	protein_name	gene_names	reviewed	length	go	subcellular_location	keywords	ec
A0A0H3GLJ9	Spermidine/putrescine transport system permease protein PotC	KPHS_20070	unreviewed	261	plasma membrane [GO:0005886]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GR91	Enzyme	KPHS_19940	unreviewed	313	extracellular region [GO:0005576]; periplasmic space [GO:0042597]; glycosyltransferase activity [GO:0016757]; peptidoglycan L,D-transpeptidase activity [GO:0071972]; cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]	SUBCELLULAR LOCATION: Periplasm {ECO:0000256|ARBA:ARBA00004418}.	Cell shape;Cell wall biogenesis/degradation;Glycosyltransferase;Hydrolase;Peptidoglycan synthesis;Periplasm;Reference proteome;Signal;Transferase	
A0A0H3GUK0	ABC-type dipeptide transporter (EC 7.4.2.9)	KPHS_30030	unreviewed	326	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptide transport [GO:0015833]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004417}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004417}.	ATP-binding;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Transport	7.4.2.9
A0A0H3H0X8	Magnesium transporter MgtE	KPHS_36960	unreviewed	478	plasma membrane [GO:0005886]; magnesium ion transmembrane transporter activity [GO:0015095]; metal ion binding [GO:0046872]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU362011}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362011}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	CBS domain;Cell membrane;Magnesium;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3H383	7,8-dihydroneopterin aldolase (EC 4.1.2.25)	KPHS_45910	unreviewed	127	cytoplasm [GO:0005737]; dihydroneopterin aldolase activity [GO:0004150]; isomerase activity [GO:0016853]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]		Folate biosynthesis;Isomerase;Lyase;Reference proteome	4.1.2.25
A0A0H3GIE5	RNA polymerase-binding transcription factor DksA	dksA KPHS_08720	unreviewed	151	cytoplasm [GO:0005737]; zinc ion binding [GO:0008270]; regulation of gene expression [GO:0010468]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00926}.	Coiled coil;Cytoplasm;Metal-binding;Reference proteome;Zinc;Zinc-finger	
A0A0H3GLE7	Glutamate/aspartate import permease protein GltJ	KPHS_15200	unreviewed	246	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transporter activity [GO:0022857]; amino acid transport [GO:0006865]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Amino-acid transport;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GMJ0	Lipopolysaccharide export system permease protein LptF	KPHS_05190	unreviewed	365	ATP-binding cassette (ABC) transporter complex [GO:0043190]; lipopolysaccharide transport [GO:0015920]; transmembrane transport [GO:0055085]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GU18	Large ribosomal subunit protein uL24	rplX KPHS_48570	unreviewed	104	cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding	
A0A0H3GVY3	Permease IIC component	KPHS_21310	unreviewed	417	plasma membrane [GO:0005886]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; N,N'-diacetylchitobiose import [GO:1902815]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport	
A0A0H3GH73	Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein) (Quinol-fumarate reductase subunit D) (QFR subunit D)	frdD KPHS_03970	unreviewed	119	fumarate reductase complex [GO:0045283]; plasma membrane [GO:0005886]; succinate dehydrogenase activity [GO:0000104]; fumarate metabolic process [GO:0006106]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00709}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00709}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GQU4	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	potA KPHS_17630	unreviewed	388	ATP-binding cassette (ABC) transporter complex [GO:0043190]; ABC-type polyamine transporter activity [GO:0015417]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; putrescine transport [GO:0015847]		ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport	7.6.2.11
A0A0H3GYN3	Cyclic di-GMP-binding protein (Cellulose synthase regulatory subunit)	KPHS_50490	unreviewed	811	plasma membrane [GO:0005886]; cellulose biosynthetic process [GO:0030244]; UDP-alpha-D-glucose metabolic process [GO:0006011]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004377}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004377}.	c-di-GMP;Cell inner membrane;Cell membrane;Cellulose biosynthesis;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	
A0A0H3GZZ4	Aminodeoxychorismate synthase component 1 (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	KPHS_33410	unreviewed	451	4-amino-4-deoxychorismate synthase activity [GO:0046820]; folic acid biosynthetic process [GO:0046656]; L-tryptophan biosynthetic process [GO:0000162]; tetrahydrofolate biosynthetic process [GO:0046654]		Folate biosynthesis;Magnesium;Reference proteome;Transferase	2.6.1.85
A0A0H3GHW8	HTH luxR-type domain-containing protein	KPHS_06720	unreviewed	240	DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]		DNA-binding;Reference proteome	
A0A0H3GNN4	Lac repressor	KPHS_11780	unreviewed	356	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GQ84	Osmotically inducible protein	KPHS_27950	unreviewed	143	peroxidase activity [GO:0004601]; response to oxidative stress [GO:0006979]		Reference proteome	
A0A0H3GR65	YbdD/YjiX family protein	KPHS_06210	unreviewed	67			Reference proteome	
A0A0H3GSF8	Uncharacterized protein	KPHS_10310	unreviewed	221	outer membrane-bounded periplasmic space [GO:0030288]; cell wall organization [GO:0071555]		Reference proteome	
A0A0H3GTK2	Altronate hydrolase	KPHS_46520	unreviewed	495	hydrolase activity [GO:0016787]; lyase activity [GO:0016829]; D-galacturonate catabolic process [GO:0019698]		Hydrolase;Lyase;Reference proteome	
A0A0H3GX58	LacI transcriptional regulator	KPHS_43290	unreviewed	331	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	
A0A0H3GZH0	Lipid/polyisoprenoid-binding YceI-like domain-containing protein	KPHS_31810	unreviewed	215			Reference proteome	
A0A0H3GZZ5	Major cold shock protein	KPHS_50780	unreviewed	70	cytosol [GO:0005829]; nucleic acid binding [GO:0003676]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|RuleBase:RU000408}.	Cytoplasm;Reference proteome	
A0A0H3H488	Nickel transporter permease NikB	KPHS_50060	unreviewed	314	plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]; nickel cation transmembrane transporter activity [GO:0015099]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}. Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}.	Cell inner membrane;Cell membrane;Ion transport;Membrane;Nickel;Nickel transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3H4I9	UPF0758 protein KPHS_51410	KPHS_51410	unreviewed	221	metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]		Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	
A0A0H3H4T9	Putative transport protein KPHS_52610	KPHS_52610	unreviewed	553	plasma membrane [GO:0005886]; monoatomic cation transmembrane transporter activity [GO:0008324]; potassium ion transport [GO:0006813]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|HAMAP-Rule:MF_01016}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|HAMAP-Rule:MF_01016}.	Cell membrane;Membrane;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	
A0A0H3GL02	Oxygen-insensitive NAD(P)H nitroreductase	KPHS_13850	unreviewed	217	cytosol [GO:0005829]; oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor [GO:0046857]; 2,4,6-trinitrotoluene catabolic process [GO:0046256]		Flavoprotein;FMN;NAD;NADP;Oxidoreductase;Reference proteome	
A0A0H3GMD1	PaaR repeat-containing protein	KPHS_23120	unreviewed	85			Reference proteome	
A0A0H3GN60	Thiamine transport system ATP-binding component	KPHS_07790	unreviewed	233	membrane [GO:0016020]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; thiamine transmembrane transport [GO:0071934]		ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport	
A0A0H3GPK4	UPF0761 membrane protein KPHS_00310	KPHS_00310	unreviewed	286	plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00672}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00672}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GTM1	PTS family enzyme IIB'BC, fructose-specific	KPHS_46820	unreviewed	470	plasma membrane [GO:0005886]; carbohydrate:proton symporter activity [GO:0005351]; protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429}.	Cell membrane;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	
A0A0H3GUL1	Ferredoxin	KPHS_30180	unreviewed	322	2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		2Fe-2S;Flavoprotein;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome	
A0A0H3GUW5	PTS system phosphotransferase	KPHS_51820	unreviewed	519	plasma membrane [GO:0005886]; kinase activity [GO:0016301]; protein-N(PI)-phosphohistidine-sugar phosphotransferase activity [GO:0008982]; protein-phosphocysteine-sugar phosphotransferase activity [GO:0090563]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Kinase;Membrane;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	
A0A0H3GV00	Uncharacterized protein YtcA	KPHS_43650	unreviewed	90	membrane [GO:0016020]	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	Cell membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal;Transmembrane;Transmembrane helix	
A0A0H3GVD2	Uncharacterized protein YobH	KPHS_33580	unreviewed	79			Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix	
A0A0H3GW68	ABC-type transport protein	KPHS_39390	unreviewed	199			Reference proteome	
A0A0H3GY41	FAD assembly factor SdhE	KPHS_43930	unreviewed	88	cytoplasm [GO:0005737]; respiratory chain complex II assembly [GO:0034552]; succinate metabolic process [GO:0006105]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Chaperone;Cytoplasm;Reference proteome	
A0A0H3GZ38	Creatininase	KPHS_30210	unreviewed	293	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; metal ion binding [GO:0046872]; riboflavin biosynthetic process [GO:0009231]		Hydrolase;Metal-binding;Reference proteome;Zinc	
A0A0H3GZT8	ATP-binding component of leucine transport	KPHS_32910	unreviewed	239	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; branched-chain amino acid transmembrane transporter activity [GO:0015658]; L-amino acid transport [GO:0015807]		Amino-acid transport;ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3H2V9	DUF469 domain-containing protein	KPHS_44610	unreviewed	108	cytosol [GO:0005829]		Reference proteome	
A0A0H3GGY6	DNA-binding transcriptional regulator SoxS	KPHS_03020	unreviewed	109	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GH62	Uncharacterized protein	KPHS_03820	unreviewed	287			Reference proteome	
A0A0H3GL52	CoA-binding protein	KPHS_18720	unreviewed	137			Reference proteome	
A0A0H3GS70	Enzyme	KPHS_22130	unreviewed	465			Reference proteome	
A0A0H3GT52	DNA-binding transcriptional regulator CsgD	KPHS_44520	unreviewed	217	DNA binding [GO:0003677]; regulation of DNA-templated transcription [GO:0006355]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GU34	Luciferase-like monooxygenase	KPHS_28730	unreviewed	335	cytosol [GO:0005829]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]		Monooxygenase;Oxidoreductase;Reference proteome	
A0A0H3GUF9	LysR-family transcriptional regulator	KPHS_50270	unreviewed	299	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; DNA-templated transcription [GO:0006351]; positive regulation of biosynthetic process [GO:0009891]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GVK7	Response regulator UvrY	KPHS_34330	unreviewed	235	DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		DNA-binding;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Two-component regulatory system	
A0A0H3GWS8	Transcriptional regulator	KPHS_41740	unreviewed	140	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GXY2	ATP-binding component of a transport system	KPHS_43230	unreviewed	375	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; maltose transport complex [GO:1990060]; ABC-type maltose transporter activity [GO:0015423]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Sugar transport;Transport	
A0A0H3H0M6	Toxin YafO	KPHS_p100220	unreviewed	136			Plasmid;Reference proteome	
A0A0H3H3C9	Inner membrane protein YqjK	KPHS_46610	unreviewed	98			Reference proteome	
A0A0H3GGT3	Molybdopterin-guanine dinucleotide biosynthesis protein B	KPHS_00150	unreviewed	168	GTP binding [GO:0005525]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		Reference proteome	
A0A0H3GLD3	Repressor of galETK operon	KPHS_00540	unreviewed	331	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GLJ1	Transcriptional activator protein	KPHS_01190	unreviewed	296	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GNI0	Amino acid exporter	KPHS_26870	unreviewed	181	plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Amino-acid transport;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GPQ3	LysR-family transcriptional regulator	KPHS_00910	unreviewed	302	protein-DNA complex [GO:0032993]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GU41	Carboxylase	KPHS_15560	unreviewed	310	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]		ATP-binding;Hydrolase;Nucleotide-binding;Reference proteome	
A0A0H3GV82	DNA-binding transcriptional activator TdcA	KPHS_33030	unreviewed	313	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GX41	GntR family transcriptional regulator	KPHS_25010	unreviewed	228	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GXQ1	GntR transcriptional regulator	KPHS_52600	unreviewed	240	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GYD2	IclR family transcriptional regulator	KPHS_28460	unreviewed	296	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of DNA-templated transcription [GO:0045892]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GYM9	Transposase	KPHS_p200180	unreviewed	75	DNA transposition [GO:0006313]		DNA recombination;Plasmid;Reference proteome;Transposition	
A0A0H3GID1	ATP-binding component of a transport system	KPHS_08620	unreviewed	308	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]		ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GMC2	Chromosome segregation and condensation protein MukF	KPHS_18300	unreviewed	360	cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]		Calcium;Cell cycle;Cell division;Chromosome partition;Cytoplasm;DNA condensation;Reference proteome	
A0A0H3GNZ6	DUF406 domain-containing protein	KPHS_28820	unreviewed	99	cytosol [GO:0005829]		Reference proteome	
A0A0H3GQV2	UPF0387 membrane protein YohO	yohO KPHS_36270	unreviewed	37	plasma membrane [GO:0005886]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01362}; Single-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01362}.	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	
A0A0H3GR95	Outer membrane-specific lipoprotein transporter subunit LolE	KPHS_19990	unreviewed	404	plasma membrane protein complex [GO:0098797]; lipoprotein localization to outer membrane [GO:0044874]; lipoprotein transport [GO:0042953]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.	Cell membrane;Lipoprotein;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	
A0A0H3GRZ2	DNA-binding transcriptional regulator ChbR	KPHS_21330	unreviewed	274	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3GTT2	ATP-binding protein of oligopeptide ABC transport system	KPHS_30040	unreviewed	323	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptide transport [GO:0015833]; transmembrane transport [GO:0055085]		ATP-binding;Nucleotide-binding;Reference proteome;Transport	
A0A0H3GWU9	Universal stress protein E	KPHS_24360	unreviewed	316	cytoplasm [GO:0005737]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.	Cytoplasm;Reference proteome	
A0A0H3GXD4	Transcriptional regulator LysR	KPHS_25960	unreviewed	307	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome;Transcription;Transcription regulation	
A0A0H3H0A5	TetR-family trancriptional regulatory protein	KPHS_52030	unreviewed	215	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		DNA-binding;Reference proteome	
A0A0H3GUS9	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC KPHS_51420	unreviewed	405	phosphopantothenoylcysteine decarboxylase complex [GO:0071513]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; phosphopantothenate--cysteine ligase activity [GO:0004632]; phosphopantothenoylcysteine decarboxylase activity [GO:0004633]; coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]		Decarboxylase;Flavoprotein;FMN;Ligase;Lyase;Magnesium;Metal-binding;Multifunctional enzyme;Reference proteome	4.1.1.36; 6.3.2.5
A0A0H3GUG1	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	cysG KPHS_41900	unreviewed	468	NAD binding [GO:0051287]; precorrin-2 dehydrogenase activity [GO:0043115]; sirohydrochlorin ferrochelatase activity [GO:0051266]; uroporphyrin-III C-methyltransferase activity [GO:0004851]; cobalamin biosynthetic process [GO:0009236]; methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]		Cobalamin biosynthesis;Lyase;Methyltransferase;Multifunctional enzyme;NAD;Oxidoreductase;Phosphoprotein;Porphyrin biosynthesis;Reference proteome;S-adenosyl-L-methionine;Transferase	1.3.1.76; 2.1.1.107; 4.99.1.4
A0A0H3GJN7	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	dxr KPHS_09200	unreviewed	400	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; manganese ion binding [GO:0030145]; NADPH binding [GO:0070402]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process [GO:0051484]		Isoprene biosynthesis;Magnesium;Manganese;Metal-binding;NADP;Oxidoreductase;Reference proteome	1.1.1.267
A0A0H3GQF1	Thiol:disulfide interchange protein DsbD (EC 1.8.1.8) (Protein-disulfide reductase) (Disulfide reductase)	dsbD KPHS_03710	unreviewed	598	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]; cell redox homeostasis [GO:0045454]; cytochrome complex assembly [GO:0017004]	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_00399}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004429, ECO:0000256|HAMAP-Rule:MF_00399}.	Cell inner membrane;Cell membrane;Cytochrome c-type biogenesis;Disulfide bond;Electron transport;Membrane;NAD;Oxidoreductase;Redox-active center;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	1.8.1.8
A0A0H3GGW8	UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	uvrA KPHS_02820	unreviewed	941	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; zinc ion binding [GO:0008270]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00205}.	ATP-binding;Cytoplasm;DNA damage;DNA excision;DNA repair;DNA-binding;Excision nuclease;Metal-binding;Nucleotide-binding;Reference proteome;Repeat;SOS response;Zinc;Zinc-finger	
A0A0H3GMJ2	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	leuC KPHS_07930	unreviewed	466	3-isopropylmalate dehydratase activity [GO:0003861]; 4 iron, 4 sulfur cluster binding [GO:0051539]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]; L-leucine biosynthetic process [GO:0009098]		4Fe-4S;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Iron;Iron-sulfur;Isomerase;Leucine biosynthesis;Lyase;Metal-binding;Reference proteome	4.2.1.33
A0A0H3GMV1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	dapD KPHS_09130	unreviewed	274	cytoplasm [GO:0005737]; 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity [GO:0008666]; nucleotidyltransferase activity [GO:0016779]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00811}.	Acyltransferase;Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Lysine biosynthesis;Reference proteome;Repeat;Transferase	2.3.1.117
